EMPIN,TOTINC,INCTAX,CIP,HRSWRK,NOCS,HHSIZE,CF_RP,COW,MODE,YEAR,CITIZEN,AGEGRP,CFSTAT,POWST,GENSTAT,LFTAG,PR,ATTSCH,CMA,KOL,MARSTH,EFSIZE,SEX,CFSIZE,BEDRM,ROOM,CONDO,REPAIR,DTYPE,PID,SIM_HH_ID
10970.876,29771.152,2877.7388,13,0,99,1,3,9,9,2025,1,13,5,9,4,14,2,1,999,2,3,1,1,1,2,2,0,2,2,9155ac4e,112
140970.88,236771.16,51877.74,10,7,3,1,3,1,9,2025,1,9,5,1,3,1,5,1,999,1,3,1,2,1,2,3,0,1,1,f6221333,113
14970.876,25771.152,2877.7388,13,4,5,1,3,1,2,2025,3,4,5,4,1,1,4,1,999,3,1,1,1,1,2,3,0,1,1,d37586c4,114
140970.88,176771.16,64877.74,8,8,3,1,3,1,2,2025,2,11,5,6,1,1,2,1,462,3,3,1,2,1,2,4,0,1,1,8ce5eedb,115
10970.876,38771.152,2877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,999,4,3,1,1,1,2,3,0,1,1,bb0ab9d0,116
30970.875,32771.152,2877.7388,3,5,7,1,3,1,2,2025,1,5,5,4,4,1,1,1,999,1,1,1,1,1,2,2,1,1,2,8791b006,117
40970.875,45771.152,4877.739,8,5,8,1,3,1,2,2025,1,8,5,4,4,1,2,1,999,2,1,1,2,1,2,3,0,2,1,ca7c3f3c,118
10970.876,28771.152,2877.7388,13,0,99,1,3,9,9,2025,3,13,5,9,1,14,5,1,999,4,3,1,1,1,2,4,0,2,3,d4368840,119
10970.876,17771.152,2877.7388,13,0,99,1,3,9,9,2025,1,11,5,9,4,14,2,1,999,2,1,1,1,1,2,2,0,1,2,4b70741a,120
93970.875,90771.16,14877.738,13,5,3,1,3,1,9,2025,1,6,5,1,4,1,2,1,999,3,1,1,2,1,1,2,0,1,2,a4c359e3,121
99970.875,91771.16,13877.738,5,5,10,1,3,1,5,2025,1,8,5,6,4,1,2,1,999,3,1,1,2,1,1,1,0,3,1,d0061ec4,122
74970.875,93771.16,18877.738,3,5,8,1,3,1,2,2025,1,10,5,4,4,1,2,1,999,2,3,1,2,1,2,3,0,1,1,3e6482a6,123
94970.875,146771.16,32877.74,3,5,2,1,3,2,9,2025,1,10,5,1,4,1,3,1,535,1,3,1,2,1,3,3,0,2,1,0681bf6a,124
10970.876,43771.152,4877.739,13,0,99,1,3,9,9,2025,1,12,5,9,4,13,2,1,462,2,3,1,1,1,2,1,1,1,2,48d35923,125
33970.875,46771.152,4877.739,13,6,10,1,3,1,2,2025,1,7,5,2,4,1,2,1,999,2,1,1,2,1,1,1,0,1,2,84aae7dd,126
10971.876,59771.152,7877.739,13,0,99,1,3,9,9,2025,1,12,5,9,4,13,3,1,999,1,3,1,1,1,3,4,0,2,1,e70440ce,127
10970.876,55771.152,6877.739,5,0,99,1,3,9,9,2025,1,12,5,9,4,13,3,1,999,1,3,1,1,1,2,3,0,1,1,37ae7fff,128
61970.875,73771.16,11877.738,4,5,2,1,3,1,2,2025,1,7,5,5,4,1,5,1,933,1,1,1,1,1,2,3,0,3,3,dee717f7,129
10970.876,25771.152,2877.7388,13,0,99,1,3,9,9,2025,1,6,5,9,4,14,2,1,999,2,1,1,1,1,2,3,0,2,1,54c5c31f,130
11970.876,50771.152,4877.739,13,0,99,1,3,9,9,2025,1,11,5,9,4,13,3,1,999,3,3,1,1,1,2,2,1,1,2,3bb3bc10,131
130970.875,136771.16,30877.738,6,5,5,1,3,1,2,2025,1,9,5,5,4,1,3,1,999,1,3,1,2,1,1,2,0,1,2,d13fff1e,132
11970.876,58771.152,8877.738,8,0,99,1,3,9,9,2025,1,13,5,9,3,13,5,1,999,1,3,1,2,1,2,2,0,1,1,5e50cff6,133
11970.876,45771.152,4877.739,11,0,99,1,3,9,9,2025,1,13,5,9,4,13,2,1,999,2,3,1,2,1,1,1,0,1,2,efb0a367,134
10970.876,16771.152,2877.7388,13,0,99,1,2,9,9,2025,1,3,3,9,2,14,3,2,535,1,1,1,2,1,3,4,0,1,1,6cdaa164,135
10970.876,21771.152,2877.7388,13,0,99,1,3,9,9,2025,1,6,5,9,4,13,3,2,999,1,1,1,2,1,2,2,0,1,2,cf40247c,136
10970.876,23771.152,2877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,4,1,825,4,3,1,1,1,2,4,0,2,1,77e64b30,137
11970.876,39771.152,5877.739,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,1,1,999,1,1,1,2,1,2,2,0,1,2,c1f8098e,138
55970.875,64771.152,7877.739,9,4,2,1,3,1,2,2025,1,10,5,5,3,1,2,1,999,3,3,1,1,1,2,2,0,3,2,5b791c3c,139
23970.875,35771.152,2877.7388,11,5,7,1,3,1,2,2025,1,6,5,4,4,1,1,1,999,1,1,1,1,1,1,2,0,2,2,20a804d3,140
10970.876,40771.152,2877.7388,13,0,99,1,3,9,9,2025,1,13,5,9,2,13,3,1,535,1,3,1,1,1,1,1,0,2,2,f956b313,141
44970.875,76771.16,9877.738,5,0,2,1,1,1,2,2025,1,6,2,4,4,2,3,1,535,1,3,4,1,1,2,1,0,2,1,51d0a632,142
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,3,9,999,1,1,1,2,1,1,1,0,3,2,ae8fe9b7,143
29970.875,66771.16,6877.739,5,1,5,1,3,1,2,2025,1,11,2,4,4,1,2,1,999,3,1,1,1,1,1,1,1,1,2,4805887c,144
34970.875,78771.16,10877.738,4,0,1,1,3,1,9,2025,1,12,5,9,4,12,1,1,999,1,3,1,2,1,2,1,0,1,2,8ca45de0,145
86970.875,78771.16,10877.738,4,5,3,1,3,1,6,2025,3,5,5,4,1,1,3,1,999,1,1,1,2,1,2,1,0,1,2,9302f5b8,146
21970.875,49771.152,4877.739,4,3,7,1,3,1,7,2025,2,12,5,4,1,1,4,1,999,1,3,1,2,1,2,2,1,2,3,542c9369,147
10970.876,30771.152,2877.7388,13,0,99,1,3,9,9,2025,1,12,5,9,4,14,2,1,462,2,3,1,1,1,2,2,0,3,3,5cbeece8,148
59970.875,65771.16,6877.739,5,5,5,1,3,1,2,2025,3,6,5,5,1,1,5,1,933,1,1,1,1,1,1,1,0,1,1,1eb98aba,149
65970.875,72771.16,9877.738,4,5,9,1,3,1,2,2025,1,5,5,6,4,1,4,1,999,1,1,1,1,1,2,4,0,1,1,363e8803,150
13970.876,55771.152,10877.738,4,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,535,1,3,1,1,1,2,3,0,1,1,1de9bd02,151
73970.875,103771.16,16877.738,9,10,9,1,3,2,9,2025,1,9,5,1,4,1,2,1,462,3,1,1,2,1,2,4,0,1,1,6f6ca7ff,152
28970.875,57771.152,5877.739,8,0,99,1,3,9,9,2025,1,11,5,9,2,13,4,1,825,1,1,1,1,1,2,3,1,1,3,3df79cdb,153
79970.875,136771.16,19877.738,10,0,4,1,3,2,9,2025,2,10,5,9,1,7,3,1,999,1,3,1,2,1,2,2,0,1,2,315d7fe2,154
52970.875,56771.152,8877.738,8,5,8,1,3,1,2,2025,1,7,5,5,4,1,3,1,999,1,1,1,2,1,2,3,0,1,2,bdd7e4f0,155
80970.875,146771.16,30877.738,8,0,7,1,3,1,2,2025,1,12,5,4,4,2,2,1,933,3,1,1,1,1,3,4,0,1,1,7089ecde,156
46970.875,61771.152,6877.739,13,4,2,1,3,1,2,2025,1,11,5,5,3,1,5,1,999,1,3,1,1,1,3,3,0,1,3,cd7b9c44,157
67970.875,73771.16,13877.738,13,5,6,1,3,1,9,2025,1,9,5,1,4,1,2,1,999,2,1,1,2,1,2,4,1,1,1,c7e17d42,158
102970.875,116771.16,25877.738,4,5,6,1,3,1,9,2025,1,7,5,1,4,1,3,1,999,3,1,1,1,1,2,2,0,1,1,5795aa4d,159
120970.875,116771.16,36877.74,8,5,3,1,3,1,7,2025,1,10,5,7,4,1,5,1,933,1,1,1,2,1,2,3,0,1,2,b5478d13,160
11970.876,48771.152,2878.7388,13,0,99,1,3,9,9,2025,1,13,5,9,2,13,4,1,835,1,3,1,1,1,2,2,0,1,2,875eed0f,161
11970.876,46771.152,5877.739,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,999,1,3,1,1,1,2,4,0,2,1,f7240466,162
40970.875,49771.152,4877.739,2,5,2,1,3,1,2,2025,1,7,5,5,3,1,5,1,933,1,1,1,2,1,1,1,0,1,2,eb072f85,163
110970.875,146771.16,40877.74,10,4,2,1,3,1,9,2025,1,10,5,1,4,1,2,1,462,3,3,1,2,1,2,3,0,1,1,cbffeadc,164
34970.875,44771.152,3877.7388,13,3,9,1,3,1,5,2025,1,9,5,2,3,1,5,1,999,1,1,1,2,1,3,4,0,1,1,f04b92bc,165
10970.876,42771.152,6877.739,10,0,99,1,3,9,9,2025,1,13,5,9,4,13,2,2,462,3,3,1,2,1,2,3,0,2,2,6b0d2333,166
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,2,99,4,9,999,1,1,1,2,1,2,2,0,2,2,a90e735c,167
57970.875,85771.16,11877.738,10,5,7,1,3,1,2,2025,1,9,5,4,3,1,3,1,999,1,1,1,1,1,1,2,1,1,2,32b63e34,168
38970.875,46771.152,5877.739,5,5,7,1,3,1,2,2025,3,6,5,4,1,1,4,1,999,1,1,1,1,1,3,4,0,1,1,48f4eeac,169
90970.875,92771.16,18877.738,13,8,2,1,3,1,9,2025,1,10,5,1,4,1,4,1,825,1,1,1,1,1,2,4,0,1,1,35a46850,170
14970.876,46771.152,6877.739,13,0,99,1,3,9,9,2025,1,11,5,9,4,13,2,1,999,2,3,1,2,1,2,4,0,2,1,0f26d2bb,171
27970.875,48771.152,5877.739,8,0,2,1,3,1,9,2025,1,11,5,9,4,6,2,1,999,3,1,1,2,1,2,4,0,2,1,6001c57b,172
27970.875,47771.152,3877.7388,13,4,7,1,3,1,2,2025,1,11,5,4,4,1,1,1,999,1,3,1,1,1,3,4,0,3,1,b65ed014,173
50970.875,56771.152,6877.739,5,5,2,1,3,1,4,2025,2,5,5,6,1,1,3,1,999,1,1,1,1,1,2,3,0,1,1,2b83978b,174
22970.875,35771.152,2877.7388,13,0,7,1,3,1,9,2025,1,10,5,9,2,11,3,1,535,1,1,1,2,1,2,2,0,1,2,13658340,175
35970.875,56771.152,4877.739,2,0,10,1,3,1,2,2025,1,6,5,4,4,2,2,1,999,3,1,1,1,1,3,4,0,2,1,b9f080ef,176
10970.876,30771.152,2877.7388,13,0,99,1,3,9,9,2025,2,12,5,9,1,14,3,1,999,1,3,1,1,1,2,2,0,1,1,eb5fa689,177
109970.875,166771.16,39877.74,10,5,4,1,3,3,2,2025,1,7,5,5,4,1,2,1,999,3,1,1,1,1,1,2,0,1,2,de0e52ee,178
60970.875,77771.16,11877.738,13,5,4,1,3,1,7,2025,1,11,5,4,4,1,4,1,999,1,3,1,1,1,2,3,0,1,1,46f83959,179
108970.875,216771.16,47877.74,10,4,4,1,3,2,2,2025,1,10,5,6,4,1,2,1,999,3,3,1,2,1,2,3,0,1,1,8b8aeb0c,180
31970.875,57771.152,7877.739,13,5,3,1,3,2,2,2025,1,6,5,4,4,1,3,1,999,1,1,1,1,1,2,4,0,1,1,03a95825,181
13970.876,27771.152,2877.7388,8,0,99,1,3,9,9,2025,1,5,5,9,4,13,2,1,999,3,1,1,2,1,2,1,0,1,2,3c7395b0,182
49970.875,57771.152,7877.739,13,5,9,1,3,1,2,2025,1,11,5,4,4,1,4,1,825,1,1,1,2,1,2,3,0,1,2,f0b6f170,183
10970.876,23771.152,2877.7388,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,9,999,1,3,4,1,4,3,4,0,1,3,2235ee2e,184
10971.876,60771.152,11877.738,10,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,1,999,1,3,1,1,1,2,4,0,1,1,7cf3bb49,185
10970.876,23771.152,2877.7388,13,0,7,1,3,1,9,2025,1,4,5,9,4,9,2,2,999,3,1,1,1,1,2,2,0,3,1,432253ac,186
10970.876,20771.152,2877.7388,99,0,99,1,3,9,9,2025,1,12,3,9,4,99,3,9,999,1,1,1,2,1,2,4,0,1,1,e318fbff,187
10970.876,28771.152,2877.7388,8,0,99,1,3,9,9,2025,1,12,5,9,4,14,2,1,999,2,1,1,2,1,3,4,0,1,1,4b8af02e,188
41970.875,59771.152,7877.739,4,0,99,1,3,9,9,2025,2,8,5,9,1,10,3,1,535,1,1,1,2,1,2,3,0,1,1,4cd90326,189
10970.876,16771.152,2877.7388,13,0,99,1,2,9,9,2025,1,3,3,9,4,14,1,2,999,1,1,1,2,1,1,1,0,2,2,e64411b6,190
24970.875,39771.152,4877.739,7,4,6,1,3,2,9,2025,1,5,5,1,3,1,3,1,999,1,1,1,2,1,2,4,0,2,3,4d012837,191
10970.876,47771.152,4877.739,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,2,1,462,3,3,1,1,1,2,4,0,3,1,8428ea2e,192
35970.875,55771.152,8877.738,13,3,2,1,3,1,2,2025,1,11,5,4,4,1,2,1,462,3,3,1,1,1,1,1,1,1,2,fd0deed3,193
10970.876,23771.152,2877.7388,13,0,99,1,3,9,9,2025,1,12,5,9,4,13,3,1,999,1,1,1,1,1,3,4,0,2,1,0f89dd10,194
34970.875,91771.16,11877.738,5,0,99,1,3,9,9,2025,1,12,5,9,4,13,4,1,835,3,3,1,2,1,3,4,0,2,3,4d425fab,195
25970.875,56771.152,8877.738,13,4,8,1,3,2,2,2025,1,6,5,2,4,1,4,1,999,1,3,1,2,1,3,4,0,1,1,2b83762c,196
10970.876,48771.152,7877.739,10,0,99,1,3,9,9,2025,1,13,5,9,4,13,1,1,999,1,3,1,1,1,2,3,0,1,1,f690d76b,197
10970.876,49771.152,4877.739,4,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,1,999,3,3,1,1,1,1,1,1,1,2,163c4c32,198
33970.875,52771.152,7877.739,13,3,8,1,3,1,2,2025,1,6,5,2,4,1,4,1,999,1,1,1,2,1,3,2,0,1,1,18b115e5,199
28970.875,58771.152,5877.739,9,1,7,1,3,1,2,2025,1,8,5,5,4,1,5,1,999,1,3,1,2,1,2,1,1,1,2,31ddb69f,200
10970.876,37771.152,2877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,535,1,3,1,1,1,2,2,0,1,3,37407aab,201
29970.875,38771.152,2877.7388,13,0,7,1,3,1,7,2025,1,11,5,4,4,2,2,1,999,2,2,1,1,1,2,2,0,1,1,1e4d8ea1,202
33970.875,57771.152,8877.738,8,0,99,1,3,9,9,2025,2,11,5,9,1,9,2,1,462,2,2,4,2,4,1,2,0,2,1,7937c544,203
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,2,9,999,2,1,1,1,1,1,1,0,1,2,f223d80f,204
58970.875,76771.16,10877.738,8,5,10,1,3,1,2,2025,3,7,5,4,1,1,4,1,999,1,3,1,2,1,2,2,1,1,3,b7302132,205
31970.875,30771.152,2877.7388,13,5,8,1,3,1,2,2025,1,5,5,2,4,1,2,1,462,2,1,1,2,1,3,4,0,2,1,fbb05054,206
11970.876,70771.16,13877.738,10,0,99,1,3,9,9,2025,1,13,5,9,3,13,4,1,999,1,3,1,1,1,2,2,1,1,1,cfb9e422,207
65970.875,74771.16,13877.738,8,5,10,1,3,1,2,2025,1,11,5,4,4,1,2,1,999,2,1,1,2,1,2,3,0,2,1,29dfedf2,208
10970.876,32771.152,3877.7388,5,1,2,1,3,2,2,2025,1,9,5,4,4,1,2,2,999,3,1,1,2,1,3,4,0,1,1,5b4a7928,209
21970.875,30771.152,2878.7388,13,10,8,1,3,2,9,2025,1,5,5,1,2,1,3,1,535,1,1,1,2,1,2,2,0,3,3,0c1862af,210
54970.875,126771.16,27877.738,3,4,5,1,3,2,2,2025,1,12,5,4,4,1,4,1,835,3,1,1,2,1,2,3,1,1,3,c4ed053b,211
10970.876,30771.152,2877.7388,13,0,99,1,3,9,9,2025,1,12,5,9,4,13,3,1,999,3,3,1,1,1,2,3,0,2,1,917dc728,212
10970.876,31771.152,2877.7388,13,0,9,1,3,2,9,2025,1,11,5,9,4,4,3,1,999,1,3,1,2,1,2,1,1,1,2,746f4c86,213
20970.875,35771.152,2877.7388,13,1,5,1,2,1,7,2025,1,7,3,4,4,1,3,1,999,3,1,4,1,1,3,4,0,3,1,6c03447b,214
16970.875,43771.152,2878.7388,11,0,99,1,3,9,9,2025,1,11,5,9,2,13,2,1,999,3,1,1,1,1,2,2,0,1,2,78f8a128,215
21970.875,41771.152,2877.7388,13,0,7,1,3,1,9,2025,1,13,5,9,4,11,2,1,999,2,3,1,1,1,3,3,0,1,1,052b1fbc,216
35970.875,52771.152,4877.739,1,2,5,1,3,1,2,2025,1,8,5,2,4,1,2,1,999,3,1,1,1,1,2,4,0,1,1,25894f95,217
38970.875,55771.152,4877.739,3,7,8,1,3,1,2,2025,1,7,5,5,4,1,5,1,999,1,3,1,1,1,2,3,0,1,1,5312aea5,218
10970.876,34771.152,2877.7388,2,0,99,1,2,9,9,2025,1,13,1,9,4,13,5,1,999,1,2,1,2,1,2,3,0,1,3,5f558473,219
13970.876,23771.152,2877.7388,13,4,7,1,2,1,7,2025,1,4,5,4,4,1,4,1,835,1,1,1,2,1,3,4,0,1,2,16903d57,220
32970.875,56771.152,5877.739,4,2,7,1,3,1,2,2025,1,8,5,2,2,1,2,1,462,3,1,1,2,1,1,2,0,1,2,24487ca9,221
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,2,99,3,9,535,1,1,1,1,1,2,2,0,1,1,11428c4c,222
10971.876,37771.152,5877.739,7,0,99,1,3,9,9,2025,1,11,5,9,4,13,2,1,999,2,1,1,1,1,2,3,0,1,1,49c73ea8,223
38970.875,61771.152,7877.739,1,3,4,1,3,1,2,2025,1,11,5,4,1,1,3,1,535,1,3,1,1,1,2,3,0,2,1,93be78ef,224
43970.875,55771.152,3877.7388,4,0,5,1,1,1,6,2025,1,5,2,2,4,2,2,1,462,3,3,4,1,1,2,2,0,2,1,496b3181,225
10970.876,40771.152,5877.739,4,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,535,1,1,1,1,1,1,1,0,2,2,35690799,226
21970.875,75771.16,5877.739,5,0,7,1,3,2,9,2025,1,12,5,9,3,11,5,1,999,1,3,1,1,1,2,2,1,1,2,df747e5f,227
10970.876,44771.152,3877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,535,1,3,1,1,1,3,4,0,1,1,2a7313d8,228
10970.876,22771.152,2877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,2,1,999,4,3,1,1,1,2,3,0,1,1,67f8149e,229
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,2,9,462,3,1,1,2,1,2,4,0,1,1,9f368423,230
10970.876,50771.152,6877.739,3,0,99,1,3,9,9,2025,1,12,5,9,4,14,2,1,462,3,3,1,1,1,1,1,1,2,2,6ac5e9be,231
16970.875,68771.16,12877.738,11,0,99,1,3,9,9,2025,1,13,5,9,4,13,2,1,462,3,3,1,2,1,3,4,0,1,1,53a94233,232
120970.875,136771.16,35877.74,3,7,7,1,3,1,2,2025,2,11,5,6,1,1,3,1,535,1,3,1,1,1,3,4,0,2,1,1e962f60,233
10970.876,52771.152,7877.739,8,0,99,1,3,9,9,2025,2,13,5,9,1,13,5,1,933,1,3,1,2,1,2,3,0,1,1,e9cc1d47,234
11970.876,54771.152,3877.7388,1,0,99,1,3,9,9,2025,1,13,5,9,3,13,3,1,999,1,3,1,1,1,2,3,0,1,3,38a84b88,235
18970.875,40771.152,7877.739,13,0,99,1,3,9,9,2025,1,11,5,9,4,13,2,1,462,2,1,1,2,1,2,2,1,1,2,ccfab96a,236
120970.875,146771.16,52877.74,8,5,3,1,3,1,9,2025,1,11,5,1,4,1,2,1,462,3,3,1,2,1,2,3,0,2,1,d9ff899d,237
46970.875,70771.16,10877.738,10,5,4,1,3,1,2,2025,2,11,5,4,1,1,3,1,999,1,3,1,1,1,2,1,0,1,2,fad197cc,238
81970.875,104771.16,17877.738,5,5,7,1,3,1,2,2025,1,10,5,6,3,1,3,1,535,1,3,1,1,1,1,1,1,2,2,bc53ca43,239
16970.875,65771.16,10877.738,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,1,999,1,3,1,1,1,3,4,1,1,2,19c5f174,240
10970.876,31771.152,2877.7388,10,0,99,1,3,9,9,2025,1,12,5,9,3,14,1,1,999,1,3,1,1,1,3,3,0,1,1,2dfb999b,241
13970.876,60771.152,9877.738,13,0,99,1,3,9,9,2025,1,13,5,9,3,13,5,1,933,1,3,1,2,1,2,3,1,1,2,ccd45be6,242
17970.875,64771.152,12877.738,4,0,99,1,3,9,9,2025,1,11,5,9,4,13,3,1,999,1,3,1,2,1,2,2,1,1,3,a430d00e,243
10970.876,17771.152,2877.7388,99,99,99,1,3,9,9,2025,1,12,5,9,3,99,2,9,462,3,1,1,1,1,1,1,1,1,2,edcf2441,244
53970.875,65771.16,9877.738,1,0,5,1,3,1,9,2025,1,11,5,9,4,11,2,1,462,2,1,1,2,1,3,4,0,2,1,14148c2a,245
10970.876,34771.152,2877.7388,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,1,999,1,3,1,1,1,2,2,0,2,2,5319e55a,246
10970.876,17771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,4,9,999,1,1,1,2,1,1,1,0,1,3,cec2d58a,247
89970.875,126771.16,34877.74,8,9,10,1,3,1,2,2025,1,9,5,6,4,1,2,1,999,3,3,1,2,1,2,3,0,1,1,e248f5f6,248
16970.875,28771.152,2877.7388,5,0,7,1,2,1,9,2025,3,5,5,9,1,11,3,2,999,1,2,1,1,4,2,3,0,1,1,93a54500,249
13970.876,62771.152,5877.739,10,0,2,1,3,1,9,2025,1,12,5,9,4,12,4,1,835,1,3,1,1,1,2,2,0,1,1,71dd32f4,250
12970.876,46771.152,3877.7388,5,0,99,1,3,9,9,2025,1,12,5,9,4,13,2,1,999,3,1,1,1,1,3,4,0,2,1,00b5e41e,251
22970.875,35771.152,2877.7388,13,4,7,1,3,1,2,2025,1,11,5,4,3,1,2,1,999,2,1,1,1,1,1,1,0,1,3,83e28e05,252
55970.875,54771.152,4877.739,13,4,6,1,3,1,9,2025,1,5,5,1,4,1,3,1,535,1,1,1,1,1,2,2,0,1,3,b76a1b98,253
10970.876,28771.152,2877.7388,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,2,1,999,2,3,1,1,1,3,4,0,1,1,581eb044,254
57970.875,72771.16,9877.738,4,4,5,1,3,1,6,2025,1,6,5,4,2,1,2,1,462,3,1,1,1,1,2,3,0,1,3,058d8e23,255
98970.875,126771.16,24877.738,10,7,4,1,3,1,2,2025,1,11,5,5,4,1,4,1,999,1,3,1,1,1,3,4,0,2,1,11ecd219,256
10970.876,16772.152,2877.7388,99,99,99,1,3,9,9,2025,1,1,5,9,4,99,3,9,999,1,1,1,2,1,1,1,0,2,2,214c350b,257
73970.875,116771.16,23877.738,1,5,5,1,3,1,9,2025,1,12,5,1,3,1,3,1,535,1,3,1,1,1,3,3,0,2,1,02d110e6,258
10970.876,26771.152,2877.7388,5,0,99,1,2,9,9,2025,1,11,1,9,4,13,2,1,999,2,2,1,1,1,2,4,0,2,3,e02f7720,259
27970.875,54771.152,5877.739,5,0,99,1,3,9,9,2025,1,11,5,9,4,10,5,1,933,1,1,1,1,1,3,3,0,1,1,3b4178f5,260
10971.876,53771.152,8877.738,8,0,99,1,3,9,9,2025,1,13,5,9,4,13,3,1,999,1,3,1,2,1,2,2,1,1,3,21f52b9c,261
63970.875,92771.16,17877.738,5,6,3,1,3,2,9,2025,1,11,5,1,4,1,4,1,825,1,1,1,2,1,1,1,1,1,2,ddce64f6,262
56970.875,61771.152,3877.7388,9,5,3,1,3,1,6,2025,2,5,5,4,1,1,3,1,535,1,1,1,1,1,2,1,1,1,2,ee4a4dca,263
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,2,9,462,2,1,1,1,1,1,1,0,1,2,cd4783d2,264
10970.876,23771.152,2877.7388,10,0,99,1,1,9,9,2025,3,8,2,9,1,14,4,2,835,1,1,4,1,4,2,1,1,1,3,55dda662,265
68970.875,95771.16,14877.738,10,5,4,1,3,2,2,2025,1,7,5,6,4,1,2,1,462,3,1,1,1,1,1,1,0,1,2,3819441c,266
106970.875,114771.16,36877.74,5,5,2,1,3,1,9,2025,1,7,5,1,4,1,2,1,999,3,1,1,2,1,2,4,0,1,1,35502e31,267
10970.876,16772.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,5,9,3,99,3,9,999,1,1,1,1,1,1,1,0,1,2,d6ea84f4,268
10970.876,38771.152,2877.7388,13,0,99,1,3,9,9,2025,2,13,5,9,1,13,3,1,535,1,3,1,1,1,2,2,1,2,2,7c500059,269
10970.876,16771.152,2877.7388,99,99,99,1,2,9,9,2025,1,1,3,9,4,99,2,9,462,1,1,1,2,1,2,2,0,1,2,c502025e,270
10970.876,21771.152,2877.7388,8,2,8,1,3,2,5,2025,1,4,5,2,3,1,3,1,535,1,1,1,2,1,1,1,0,1,3,e600713f,271
10970.876,25771.152,2877.7388,5,0,99,1,2,9,9,2025,1,4,3,9,4,9,6,2,999,1,1,1,2,1,3,4,0,1,1,999fdfa1,272
