EPINO,WGHT_EPI,end,occPRE,start,occACT,Alone,Spouse,Children,parents,otherHHs,others,otherInFAMs,friends,PR,REGION,DDAY,HHSIZE,AGEGRP,SEX,MARSTH,KOL,ATTSCH,HDGREE,NOCS,NAICS,LFTAG,COW,HRSWRK,MODE,POWST,TOTINC,CMA,PHSDFLG,CXRFLAG,PARNUM,SIM_HH_ID,Day_Type,AgentID,DTYPE,BEDRM,CONDO,ROOM,REPAIR
14.0,1387.7475,2200,1,2000,10,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
15.0,1387.7475,2300,1,2200,10,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
16.0,1387.7475,30,1,2300,5,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
17.0,1387.7475,400,1,30,5,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
1.0,619.3001,615,1,400,5,2,1,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
2.0,619.3001,620,1,615,14,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
3.0,619.3001,650,1,620,6,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
4.0,619.3001,720,1,650,2,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
5.0,619.3001,740,1,720,12,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
6.0,619.3001,750,1,740,12,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
7.0,619.3001,800,10,750,13,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
8.0,619.3001,820,10,800,13,2,2,2,1,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
9.0,619.3001,830,9,820,14,2,2,2,1,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
10.0,619.3001,850,10,830,13,2,2,2,1,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
11.0,619.3001,855,10,850,13,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
12.0,619.3001,1620,1,855,1,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
13.0,619.3001,1640,10,1620,13,2,2,2,1,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
14.0,619.3001,1700,10,1640,13,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
15.0,619.3001,1800,1,1700,9,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
16.0,619.3001,1900,1,1800,6,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
17.0,619.3001,2000,1,1900,8,2,2,2,2,2,1,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
18.0,619.3001,2100,1,2000,10,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
19.0,619.3001,2300,1,2100,1,1,2,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
20.0,619.3001,400,1,2300,5,2,1,2,2,2,2,2.0,2.0,2,2.0,5.0,1,4,2,2,3,2.0,7.0,3,16.0,1.0,1,99,2,2.0,5.0,1.0,2.0,2.0,0.0,146,Weekday,1,2,1,1,2,1
1.0,972.8956,600,9,400,5,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
2.0,972.8956,620,9,600,14,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
3.0,972.8956,640,9,620,9,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
4.0,972.8956,800,9,640,5,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
5.0,972.8956,900,9,800,6,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
6.0,972.8956,1000,10,900,13,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
7.0,972.8956,1200,1,1000,2,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
8.0,972.8956,1245,1,1200,9,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
9.0,972.8956,1305,10,1245,13,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
10.0,972.8956,1530,7,1305,6,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
11.0,972.8956,1550,10,1530,13,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
12.0,972.8956,1800,1,1550,2,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
13.0,972.8956,1830,1,1800,2,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
14.0,972.8956,1900,1,1830,6,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
15.0,972.8956,1915,1,1900,2,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
16.0,972.8956,2015,1,1915,2,1,2,2,2,2,2,2.0,2.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
17.0,972.8956,2230,1,2015,10,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
18.0,972.8956,400,1,2230,5,2,2,2,2,2,2,2.0,1.0,2,3.0,1.0,1,4,2,3,1,2.0,5.0,1,12.0,9.0,1,99,2,6.0,5.0,1.0,2.0,2.0,0.0,146,Weekend,1,2,1,1,2,1
1.0,1095.1639,745,1,400,1,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
2.0,1095.1639,800,1,745,6,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
3.0,1095.1639,1100,1,800,1,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
4.0,1095.1639,1700,1,1100,1,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
5.0,1095.1639,1900,1,1700,2,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
6.0,1095.1639,2225,1,1900,10,1,2,2,2,2,2,2.0,2.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
7.0,1095.1639,2325,1,2225,7,9,9,9,9,9,9,9.0,9.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
8.0,1095.1639,400,1,2325,5,9,9,9,9,9,9,9.0,9.0,5,2.0,2.0,1,4,1,1,3,2.0,6.0,2,15.0,1.0,1,2,1,2.0,3.0,1.0,2.0,2.0,0.0,150,Weekday,2,2,2,0,2,1
1.0,344.498,800,1,400,5,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
2.0,344.498,830,1,800,7,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
3.0,344.498,900,1,830,6,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
4.0,344.498,930,1,900,7,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
5.0,344.498,1000,1,930,10,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
6.0,344.498,1030,10,1000,13,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
7.0,344.498,1100,3,1030,9,2,1,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
8.0,344.498,1230,10,1100,13,2,1,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
9.0,344.498,1300,3,1230,6,2,1,2,1,2,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
10.0,344.498,1530,3,1300,9,2,1,2,1,2,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
11.0,344.498,1600,3,1530,6,2,1,2,1,1,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
12.0,344.498,1730,3,1600,9,2,1,2,1,1,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
13.0,344.498,1815,3,1730,6,2,1,2,1,1,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
14.0,344.498,1830,3,1815,2,2,1,2,1,1,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
15.0,344.498,2030,3,1830,9,2,1,2,1,1,1,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
16.0,344.498,2200,10,2030,13,2,1,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
17.0,344.498,2300,1,2200,7,1,2,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
18.0,344.498,400,1,2300,5,2,1,2,2,2,2,2.0,2.0,5,4.0,7.0,1,4,1,1,1,2.0,6.0,2,16.0,1.0,1,2,2,1.0,5.0,1.0,2.0,2.0,0.0,150,Weekend,2,2,2,0,2,1
1.0,788.5295,430,1,400,6,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
2.0,788.5295,515,11,430,13,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
3.0,788.5295,600,2,515,14,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
4.0,788.5295,1430,2,600,1,2,2,2,2,2,2,2.0,1.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
5.0,788.5295,1530,10,1430,13,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
6.0,788.5295,1615,1,1530,2,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
7.0,788.5295,1700,1,1615,2,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
8.0,788.5295,1720,1,1700,6,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
9.0,788.5295,1735,1,1720,2,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
10.0,788.5295,1740,10,1735,13,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
11.0,788.5295,1830,5,1740,4,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
12.0,788.5295,1835,10,1830,13,1,2,2,2,2,2,2.0,2.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
13.0,788.5295,2105,1,1835,10,9,9,9,9,9,9,9.0,9.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
14.0,788.5295,400,1,2105,5,9,9,9,9,9,9,9.0,9.0,1,3.0,4.0,1,4,2,3,1,2.0,2.0,10,5.0,1.0,1,2,2,2.0,4.0,1.0,2.0,2.0,0.0,153,Weekday,3,2,2,0,2,1
1.0,401.6349,800,1,400,5,1,2,2,2,2,2,2.0,2.0,1,5.0,1.0,1,4,2,1,1,2.0,6.0,3,12.0,1.0,1,2,1,1.0,5.0,1.0,2.0,2.0,0.0,153,Weekend,3,2,2,0,2,1
