EMPIN,TOTINC,INCTAX,CIP,HRSWRK,NOCS,HHSIZE,CF_RP,COW,MODE,YEAR,CITIZEN,AGEGRP,CFSTAT,POWST,GENSTAT,LFTAG,PR,ATTSCH,CMA,KOL,MARSTH,EFSIZE,SEX,CFSIZE,BEDRM,ROOM,CONDO,REPAIR,DTYPE
30287.848,40071.9,2956.5435,4,1,2,2,3,1,9,2030,2,10,6,1,1,1,4,1,999,1,1,2,2,2,2,3,0,2,2
80287.85,112071.9,34956.543,5,5,2,1,3,1,9,2030,1,6,5,1,2,1,3,2,535,1,1,1,1,1,2,3,0,1,1
9287.849,31071.898,2956.5435,4,0,99,2,3,9,9,2030,1,8,6,9,4,13,4,1,825,1,1,2,1,2,3,4,0,1,1
8287.849,12071.898,1956.5435,13,0,99,5,2,9,9,2030,1,3,4,9,2,14,3,1,999,1,1,5,1,3,2,2,0,2,1
104287.85,109071.9,20956.543,2,5,3,2,1,1,2,2030,1,11,1,5,4,1,3,1,535,1,2,2,2,2,1,2,0,1,1
52287.848,64071.9,12956.543,13,5,7,2,2,1,2,2030,1,11,1,4,4,1,2,1,462,3,2,2,1,2,3,4,0,2,1
14287.849,27071.898,1956.5435,13,0,99,2,3,9,9,2030,1,7,7,9,4,13,4,1,835,1,1,2,2,2,2,3,0,1,1
8287.849,31071.898,1957.5435,13,0,99,2,2,9,9,2030,1,13,1,9,4,13,1,1,999,1,2,2,2,2,2,2,1,1,2
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,1,3,9,2,99,3,9,999,4,1,3,1,1,1,1,0,1,2
51287.848,62071.9,5956.5435,10,4,5,2,1,1,2,2030,1,5,1,2,4,1,5,1,933,1,1,2,1,2,2,1,1,1,2
18287.848,62071.9,9956.543,8,1,8,2,1,2,2,2030,1,13,1,2,2,1,4,1,835,1,2,2,2,2,2,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,5,2,9,9,2030,1,2,3,9,4,99,3,9,535,1,1,5,1,5,2,4,0,2,1
8287.849,21071.898,1956.5435,13,0,99,4,1,9,9,2030,3,6,1,9,1,14,4,1,999,1,2,4,1,4,2,3,0,1,1
33287.848,42071.9,3956.5435,13,5,8,2,3,1,2,2030,1,5,6,4,4,1,3,1,999,1,1,1,2,1,1,1,0,1,3
8287.849,15071.898,1956.5435,13,0,99,2,2,9,9,2030,1,11,3,9,4,10,4,1,999,1,1,2,1,2,2,2,0,1,2
118287.85,122071.9,24956.543,5,5,2,3,3,1,2,2030,1,11,5,5,2,1,3,1,535,1,3,3,2,3,1,2,0,1,2
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,3,1,3,9,1,99,5,9,933,1,1,4,1,4,2,2,1,2,2
8287.849,12071.898,1956.5435,99,99,99,6,2,9,9,2030,1,1,3,9,4,99,2,9,462,2,1,6,1,6,2,3,0,1,1
73287.85,80071.9,16956.543,4,3,7,4,1,1,2,2030,3,10,1,2,1,1,3,1,535,1,2,4,2,4,3,3,0,1,1
8287.849,30071.898,1956.5435,11,0,99,2,2,9,9,2030,2,12,1,9,1,14,4,1,825,1,2,2,1,2,3,3,0,2,1
35287.848,46071.9,3956.5435,8,6,7,2,3,1,6,2030,1,7,6,4,4,1,3,1,999,1,1,1,2,1,1,1,0,1,3
39287.848,49071.9,6956.5435,8,6,8,5,1,1,2,2030,3,9,1,2,1,1,3,1,535,4,2,5,2,5,2,2,1,1,2
8287.849,25071.898,1956.5435,5,0,99,2,2,9,9,2030,1,12,1,9,4,14,2,1,999,2,2,2,1,2,2,4,0,1,1
90287.85,122071.9,34956.543,1,4,1,1,3,1,2,2030,1,11,5,5,4,1,2,1,462,3,3,1,1,1,3,4,0,1,1
20287.848,49071.9,10956.543,6,0,99,4,2,9,9,2030,1,11,1,9,4,13,3,1,535,1,2,4,1,4,3,3,0,1,1
71287.85,89071.9,14956.543,5,5,2,4,1,2,9,2030,1,7,1,1,2,1,5,1,933,1,1,4,1,4,3,4,0,2,1
8287.849,34071.9,4956.5435,7,0,99,2,2,9,9,2030,1,12,1,9,4,13,3,1,999,1,2,2,1,2,2,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,2,3,9,3,99,2,9,462,2,1,4,2,4,3,4,0,1,1
26287.848,61071.9,4956.5435,3,1,5,2,1,1,2,2030,1,13,2,4,3,1,1,1,999,1,1,2,2,2,1,2,0,1,2
8287.849,12071.898,1956.5435,99,99,99,6,2,9,9,2030,1,2,3,9,2,99,3,9,535,1,1,6,1,4,2,2,0,1,2
8287.849,22071.898,1956.5435,13,0,99,2,2,9,9,2030,1,12,1,9,4,14,3,1,999,1,2,2,1,2,1,1,0,1,2
68287.85,72071.9,10956.543,8,4,2,3,2,1,9,2030,1,7,1,1,4,1,2,1,999,3,1,3,1,3,2,2,0,2,3
33287.848,56071.9,5956.5435,4,6,5,3,2,1,2,2030,1,12,1,5,4,1,3,1,999,1,2,3,1,3,2,2,1,1,1
8287.849,31071.898,1956.5435,13,0,99,2,3,9,9,2030,3,12,7,9,1,14,3,1,535,1,3,2,2,1,1,1,0,1,2
34287.848,35071.9,1956.5435,8,7,8,3,2,1,2,2030,2,6,3,4,1,1,3,1,535,1,1,3,2,3,3,4,0,1,1
23287.848,28071.898,2956.5435,13,5,7,2,2,1,2,2030,1,4,4,6,1,1,5,1,999,1,1,2,2,2,2,3,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,2,3,9,4,99,2,9,462,3,1,4,1,4,2,4,0,1,1
92287.85,122071.9,30956.543,3,7,5,2,2,1,7,2030,2,11,1,4,1,1,3,1,535,1,2,2,1,2,3,3,0,1,1
102287.85,98071.9,19956.543,13,5,3,4,2,1,2,2030,1,9,1,4,2,1,3,1,535,1,2,4,2,4,2,4,0,1,1
138287.84,162071.9,31956.543,10,4,4,3,1,1,2,2030,1,8,1,5,4,1,5,1,933,3,1,3,1,3,2,4,0,1,1
8287.849,20071.898,1956.5435,13,3,7,3,2,2,2,2030,1,11,1,6,1,1,3,1,999,1,1,3,2,3,2,3,0,2,1
60287.848,70071.9,6956.5435,1,0,5,4,2,1,9,2030,1,7,1,1,2,2,3,1,535,1,2,4,1,4,2,2,1,1,2
8287.849,23071.898,2956.5435,13,3,8,3,2,2,2,2030,1,6,1,2,4,1,3,1,999,1,1,3,2,3,2,4,0,2,1
11287.849,20071.898,1956.5435,13,0,7,1,3,1,2,2030,1,4,5,2,4,2,2,1,999,3,1,1,1,1,2,3,0,3,1
94287.85,91071.9,13956.543,5,5,3,4,2,1,2,2030,2,10,1,4,1,1,2,1,462,1,2,4,1,4,2,1,0,2,1
8287.849,43071.9,2956.5435,13,0,99,1,3,9,9,2030,1,13,5,9,3,13,4,1,999,1,3,1,1,1,2,3,0,2,3
64287.848,78071.9,16956.543,8,4,5,2,2,1,2,2030,1,11,1,6,4,1,2,1,999,2,2,2,2,2,2,3,1,1,3
12287.849,60071.9,12956.543,7,0,99,1,3,9,9,2030,1,13,5,9,1,13,3,1,535,1,3,1,2,1,2,3,1,2,3
79287.85,79071.9,11956.543,7,5,3,2,2,1,9,2030,3,6,1,1,1,1,3,1,535,1,2,2,1,2,2,1,0,2,2
8287.849,27071.898,1956.5435,13,0,2,1,3,2,9,2030,1,8,5,9,4,3,3,1,999,1,3,1,1,1,1,1,1,1,2
8288.849,48071.9,5956.5435,8,0,99,2,2,9,9,2030,1,12,1,9,4,13,5,1,999,1,2,2,2,2,2,3,0,1,1
10287.849,34071.9,1956.5435,13,0,99,1,3,9,9,2030,1,13,5,9,3,13,4,1,825,1,3,1,1,1,3,3,0,1,1
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,2,4,9,4,99,3,9,999,1,1,3,2,3,2,3,0,1,3
44287.848,63071.9,8956.543,2,4,2,1,3,1,2,2030,1,9,5,4,2,1,3,1,535,3,1,1,1,1,1,1,1,1,2
53287.848,94071.9,22956.543,10,4,4,3,1,2,2,2030,2,11,1,5,1,1,3,1,999,1,2,3,2,2,2,3,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,2,9,999,2,1,4,1,4,2,4,0,1,1
106287.85,122071.9,20956.543,5,7,5,1,3,1,2,2030,1,5,5,5,2,1,2,1,462,1,1,1,2,1,3,4,0,1,1
12287.849,47071.9,2956.5435,13,0,99,1,3,9,9,2030,1,13,5,9,4,13,4,1,835,1,3,1,1,1,2,3,0,1,1
12287.849,41071.9,6956.5435,13,0,99,2,1,9,9,2030,1,11,1,9,4,13,1,1,999,1,2,2,2,2,2,4,0,1,1
81287.85,95071.9,20956.543,8,6,2,3,1,1,2,2030,1,9,2,4,4,1,2,1,999,3,1,3,2,2,3,4,0,1,1
8287.849,16071.898,1956.5435,13,0,99,4,2,9,9,2030,1,9,3,9,3,13,3,9,999,1,1,4,1,4,2,3,0,1,1
9287.849,25071.898,1956.5435,13,0,99,2,2,9,9,2030,1,9,4,9,3,13,3,1,999,1,3,2,2,2,2,2,0,1,1
29287.848,62071.9,9956.543,5,0,2,4,1,3,9,2030,2,10,1,9,1,4,4,1,825,3,2,4,2,4,2,2,1,1,2
16287.849,33071.9,2956.5435,4,4,8,2,1,2,2,2030,2,11,1,2,1,1,5,1,999,1,2,2,2,2,2,2,0,1,2
8287.849,33071.9,1957.5435,13,0,99,2,1,9,9,2030,1,12,1,9,4,13,3,1,999,1,2,2,2,2,2,3,0,2,1
30287.848,40071.9,4956.5435,8,7,3,3,2,3,2,2030,2,7,3,2,1,1,3,1,535,1,1,3,2,3,2,2,0,3,2
8287.849,42071.9,5956.5435,13,0,99,2,1,9,9,2030,1,13,1,9,4,13,4,1,999,1,2,2,2,2,2,2,1,1,3
34287.848,41071.9,3956.5435,9,5,7,4,2,1,2,2030,3,7,1,4,1,1,1,1,999,1,2,4,1,4,2,2,0,2,1
19287.848,51071.9,3956.5435,1,0,5,1,3,1,9,2030,1,11,5,9,4,12,2,1,462,3,3,1,1,1,1,1,0,1,2
56287.848,67071.9,10956.543,13,7,8,3,1,1,2,2030,1,6,1,6,2,1,3,1,535,1,2,3,2,3,3,4,0,2,3
33287.848,54071.9,7956.5435,5,2,8,2,1,1,2,2030,1,6,1,2,1,1,4,1,999,1,2,2,2,2,2,3,0,2,3
32287.848,65071.9,7956.5435,1,0,5,1,3,1,2,2030,1,13,5,9,4,12,5,1,999,1,3,1,1,1,2,4,0,2,1
8287.849,36071.9,2956.5435,13,0,99,3,1,9,9,2030,2,12,1,9,1,13,3,1,535,1,2,3,2,3,2,2,0,1,2
70287.85,75071.9,13956.543,8,5,2,3,2,1,9,2030,2,11,1,1,1,1,3,1,535,1,1,3,2,3,3,2,0,1,1
63287.848,96071.9,14956.543,13,0,3,1,3,1,2,2030,1,11,5,4,2,2,3,1,999,1,3,1,1,1,2,3,0,1,3
61287.848,62071.9,9956.543,13,5,7,2,1,1,2,2030,1,9,1,6,4,1,2,1,999,2,2,2,2,2,3,3,0,1,1
27287.848,62071.9,6956.5435,10,1,4,2,2,2,3,2030,1,5,1,4,4,1,3,1,535,1,1,2,1,2,2,4,0,1,1
73287.85,86071.9,15956.543,5,5,7,1,3,1,2,2030,3,8,5,5,1,1,4,1,835,1,3,1,2,1,3,4,0,1,3
51287.848,58071.9,7956.5435,5,4,2,2,1,1,9,2030,1,5,1,1,1,1,2,2,462,3,1,2,1,2,2,1,0,1,1
21287.848,31071.898,1957.5435,11,4,8,1,3,1,2,2030,2,11,5,4,1,1,3,1,535,3,1,1,1,1,2,2,0,3,2
158287.84,142071.9,35956.543,5,5,2,2,1,1,9,2030,1,10,1,1,4,1,2,1,999,3,2,2,1,2,3,4,0,1,1
8287.849,52071.9,8956.543,3,0,99,2,1,9,9,2030,2,12,2,9,1,13,3,1,535,1,3,2,2,2,1,1,1,1,2
8287.849,16071.898,1956.5435,13,0,7,3,2,1,9,2030,1,3,3,9,4,11,2,2,999,3,1,3,2,3,3,4,0,1,1
50287.848,65071.9,8956.543,10,4,4,4,1,1,2,2030,1,7,1,2,1,1,3,1,999,1,2,4,1,4,2,3,0,2,1
108287.85,110071.9,20956.543,3,5,3,1,3,1,9,2030,1,6,1,1,2,1,3,1,535,1,1,1,1,1,2,4,0,1,1
8287.849,44071.9,3956.5435,1,0,99,1,3,9,9,2030,1,12,5,9,4,13,1,1,999,1,3,1,1,1,2,2,0,2,2
8287.849,13071.898,1956.5435,99,99,99,6,2,9,9,2030,1,1,3,9,4,99,3,9,999,1,1,6,1,6,2,2,1,1,3
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,1,3,9,2,99,5,9,933,1,1,3,2,3,1,1,0,1,2
45287.848,55071.9,4956.5435,13,3,7,3,2,1,9,2030,1,6,1,1,4,1,4,1,999,1,2,3,1,3,3,4,0,3,1
11287.849,26071.898,1957.5435,4,0,99,3,2,9,9,2030,3,11,1,9,1,13,5,1,933,1,2,3,1,3,2,2,1,1,2
79287.85,82071.9,11956.543,6,5,3,2,2,1,2,2030,2,11,1,4,1,1,3,1,999,3,2,2,1,2,2,2,0,3,2
8288.849,39071.9,5956.5435,7,0,99,2,2,9,9,2030,2,12,1,9,1,13,2,1,462,3,2,2,2,2,2,1,1,2,2
12287.849,23071.898,1957.5435,13,5,8,4,2,2,2,2030,1,7,1,2,4,1,1,1,999,1,2,4,2,4,2,2,0,3,2
61287.848,107071.9,17956.543,10,3,4,4,1,3,2,2030,2,8,1,4,1,1,3,1,535,3,2,4,1,4,2,2,0,2,3
40287.848,62071.9,7956.5435,5,6,7,3,2,1,2,2030,1,12,1,6,4,1,3,1,999,1,2,3,2,3,2,2,0,1,2
43287.848,49071.9,6956.5435,5,5,2,2,2,1,2,2030,1,10,1,4,4,1,2,1,999,3,2,2,1,2,2,2,0,1,2
9287.849,23071.898,1957.5435,8,0,99,2,2,9,9,2030,1,11,1,9,4,13,3,1,999,3,1,2,2,2,3,3,0,2,1
108287.85,108071.9,25956.543,5,4,2,4,2,1,9,2030,1,9,1,1,4,1,2,1,999,2,2,4,2,4,2,4,1,1,2
41287.848,47071.9,4956.5435,2,5,7,3,2,1,2,2030,1,9,1,6,4,1,2,1,462,2,2,3,1,3,2,3,0,1,1
21287.848,57071.9,11956.543,8,0,99,1,3,9,9,2030,1,11,5,9,4,13,2,1,999,2,3,1,2,1,2,4,0,1,1
40287.848,58071.9,5956.5435,10,4,2,2,3,1,2,2030,1,11,6,5,4,1,4,1,825,1,3,2,1,2,2,2,0,1,1
107287.85,122071.9,30956.543,5,6,3,2,2,1,2,2030,1,10,1,6,4,1,2,1,999,3,2,2,2,2,2,2,0,1,1
12287.849,20071.898,1956.5435,13,4,5,1,3,1,2,2030,1,4,5,4,4,1,2,2,999,2,1,1,1,1,2,2,0,2,1
79287.85,82071.9,12956.543,5,5,2,5,1,1,9,2030,2,8,1,1,1,1,3,1,535,1,2,5,1,4,2,2,1,1,3
45287.848,51071.9,7956.5435,13,5,8,4,1,1,1,2030,1,8,1,2,3,1,5,1,999,1,2,4,2,4,3,3,0,1,1
51287.848,68071.9,7956.5435,10,6,4,2,1,1,2,2030,1,7,1,4,4,1,1,1,999,1,1,2,1,2,3,4,0,1,1
53287.848,64071.9,9956.543,13,4,2,3,2,1,3,2030,1,8,1,4,4,1,2,1,462,3,1,3,2,3,2,3,0,1,3
34287.848,54071.9,6956.5435,13,0,8,2,2,1,9,2030,1,11,1,9,4,11,2,1,999,2,2,2,2,2,2,3,0,1,1
138287.84,142071.9,29956.543,4,5,2,1,3,1,9,2030,2,9,5,1,1,1,2,1,462,3,2,1,2,1,1,1,1,1,2
8287.849,31071.898,2956.5435,1,0,99,2,3,9,9,2030,1,11,6,9,4,13,4,1,825,1,1,1,1,1,1,1,1,1,2
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,2,9,462,2,1,4,1,4,3,4,0,2,1
19287.848,26071.898,1957.5435,13,5,7,3,2,1,7,2030,2,9,1,4,1,1,2,1,462,1,1,3,1,3,2,2,1,1,2
19287.848,38071.9,3956.5435,8,2,7,3,1,1,2,2030,3,9,1,4,1,1,4,1,835,1,2,3,2,3,2,1,0,1,2
8287.849,23071.898,1956.5435,13,0,99,2,2,9,9,2030,1,13,1,9,4,14,3,1,535,1,2,2,1,2,2,2,1,2,2
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,2,4,9,4,99,1,9,999,1,1,3,2,3,3,4,0,1,1
27287.848,39071.9,4956.5435,13,2,7,2,2,1,2,2030,1,11,1,5,4,1,2,1,999,3,1,2,1,2,2,4,0,1,1
29287.848,43071.9,4956.5435,2,5,10,4,2,3,2,2030,1,8,1,5,4,1,2,1,999,3,1,4,1,4,2,2,0,1,2
8287.849,37071.9,4956.5435,5,0,99,2,2,9,9,2030,1,12,1,9,4,13,2,1,999,2,2,2,1,2,2,3,0,2,1
8286.849,12071.898,1956.5435,99,99,99,5,2,9,9,2030,1,2,3,9,4,99,3,9,999,1,1,5,1,5,3,3,0,3,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,3,99,3,9,535,1,1,4,1,4,2,4,0,2,1
8287.849,27071.898,1956.5435,13,0,99,2,2,9,9,2030,2,12,1,9,1,13,3,1,535,1,2,2,1,2,3,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,5,9,999,1,1,4,2,4,2,3,0,2,1
77287.85,76071.9,9956.543,5,5,2,2,1,1,2,2030,1,10,1,6,2,1,3,1,999,1,2,2,1,2,2,1,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,5,9,999,3,1,4,1,4,1,2,0,1,3
8287.849,22071.898,1956.5435,13,0,99,1,3,9,9,2030,1,11,1,9,4,14,2,1,999,2,1,1,1,1,2,3,0,2,1
67287.85,71071.9,8956.543,5,5,7,4,2,1,5,2030,2,11,1,4,1,1,5,1,933,1,2,4,1,4,2,3,0,1,1
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,1,3,9,2,99,1,9,999,1,1,3,2,3,1,1,1,1,2
88287.85,97071.9,18956.543,8,5,3,2,2,3,6,2030,2,6,1,6,1,1,1,1,999,1,2,2,1,2,2,2,0,1,3
8287.849,18071.898,1956.5435,4,0,7,2,2,1,9,2030,2,11,1,9,1,3,2,1,999,2,2,2,1,2,1,1,0,1,2
68287.85,94071.9,12956.543,10,4,4,3,2,1,2,2030,1,6,3,4,2,1,2,1,462,3,1,3,2,3,2,3,0,1,1
118287.85,192071.9,31956.543,13,10,7,3,1,2,2,2030,1,8,1,5,3,1,5,1,933,3,2,3,1,3,3,4,0,1,1
47287.848,72071.9,10956.543,6,0,3,4,1,1,2,2030,1,7,1,4,4,2,3,1,999,1,2,4,1,4,2,1,0,1,2
78287.85,87071.9,16956.543,7,5,7,1,3,1,2,2030,2,9,5,5,1,1,3,1,535,1,3,4,2,4,2,2,0,1,2
32287.848,38071.9,3956.5435,5,5,7,3,2,1,2,2030,1,7,3,5,4,1,3,1,999,1,1,3,2,3,2,2,0,1,1
8287.849,17071.898,1956.5435,8,0,3,3,2,1,9,2030,1,4,3,9,1,12,3,2,535,3,1,3,1,3,2,2,0,2,3
52287.848,53071.9,5956.5435,4,5,2,2,2,1,9,2030,2,5,4,1,1,1,5,1,933,1,1,2,1,2,3,3,0,2,1
